Distribució de la superfície agrícola utilitzada (SAU)
Municipis. 2020
Font: Idescat, a partir de les dades del Cens agrari de l'INE.
(..) Dada confidencial, amb baixa fiabilitat o no disponible.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=censag&n=16059&geo=mun
Codi;Nom;SAU  explot.;SAU  ha;Terres llaurades  total  explot.;Terres llaurades  total  ha;Terres llaurades  conreus en hivernacle o amb protecció alta accessible  explot.;Terres llaurades  conreus en hivernacle o amb protecció alta accessible  ha;Terres llaurades  conreus herbacis a l'aire lliure i/o amb protecció baixa  explot.;Terres llaurades  conreus herbacis a l'aire lliure i/o amb protecció baixa  ha;Terres llaurades  guarets (inclou terres sembrades per a adob en verd)  explot.;Terres llaurades  guarets (inclou terres sembrades per a adob en verd)  ha;Terres llaurades  conreus llenyosos permanents a l'aire lliure  explot.;Terres llaurades  conreus llenyosos permanents a l'aire lliure  ha;Terres llaurades  horts per a consum propi  explot.;Terres llaurades  horts per a consum propi  ha;Terres per a pastures permanents  explot.;Terres per a pastures permanents  ha
081614;Piera;104;1907;104;1907;2;1;30;330;51;200;103;1376;15;0;0;0
431055;Piles, les;57;1355;57;1355;1;0;54;1260;20;75;9;19;13;0;0;0
081635;Pineda de Mar;22;42;21;39;9;5;17;33;2;1;1;0;3;0;1;3
431068;Pinell de Brai, el;190;1111;190;1109;0;0;25;20;69;42;190;1046;21;1;2;3
251667;Pinell de Solsonès;51;3179;51;2640;0;0;50;2455;35;180;12;6;13;0;14;539
251673;Pinós;74;4653;73;3305;0;0;73;3179;42;122;5;4;13;0;16;1348
431074;Pira;27;495;27;495;2;1;15;158;9;29;26;307;5;0;1;0
431080;Pla de Santa Maria, el;108;2041;105;2035;0;0;43;985;48;220;101;829;11;0;5;6
081640;Pla del Penedès, el;59;729;58;725;0;0;8;5;28;32;58;688;5;0;2;4
171334;Planes d'Hostoles, les;19;489;17;222;2;1;17;216;3;5;2;1;7;0;14;266
171349;Planoles;8;332;5;5;1;0;3;4;0;0;2;1;1;0;7;327
259118;Plans de Sió, els;167;4691;165;4663;0;0;161;4284;90;304;48;74;14;0;7;29
251689;Poal, el;45;656;45;656;0;0;39;525;6;5;14;126;6;0;0;0
251692;Pobla de Cérvoles, la;115;1410;115;1410;0;0;13;77;51;54;115;1279;12;0;0;0
081653;Pobla de Claramunt, la;13;126;13;126;0;0;8;89;6;15;11;22;1;0;0;0
081666;Pobla de Lillet, la;13;2044;10;283;0;0;9;283;1;0;1;0;7;0;13;1761
431093;Pobla de Mafumet, la;28;68;28;68;0;0;5;0;2;0;28;68;1;0;0;0
431107;Pobla de Massaluca, la;86;1190;86;1190;0;0;4;10;40;24;85;1156;4;0;0;0
431114;Pobla de Montornès, la;55;461;54;459;1;0;9;29;16;51;53;379;3;0;1;2
251713;Pobla de Segur, la;23;1203;18;132;1;6;15;99;3;1;14;26;9;0;13;1070
431129;Poboleda;62;221;62;220;0;0;10;1;19;9;62;210;12;0;2;0
081672;Polinyà;11;263;10;260;0;0;9;231;5;20;2;9;3;0;1;3
431135;Pont d'Armentera, el;24;554;24;554;0;0;13;139;15;53;22;362;8;0;0;0
250306;Pont de Bar, el;18;1621;12;38;0;0;12;37;0;0;1;1;1;0;16;1583
171352;Pont de Molins;10;370;10;370;0;0;8;289;5;24;10;56;1;0;1;0
251734;Pont de Suert, el;39;3901;27;257;1;1;21;241;3;3;3;12;12;0;35;3644
081825;Pont de Vilomara i Rocafort, el;6;69;6;35;0;0;2;28;0;0;4;6;3;0;1;34
431418;Pontils;39;1381;39;1087;0;0;37;969;22;54;8;64;1;0;3;294
081688;Pontons;25;375;24;369;0;0;12;104;8;26;22;238;2;0;1;6
171365;Pontós;12;477;12;473;0;0;12;444;8;16;7;12;4;0;2;4
251728;Ponts;54;873;53;872;0;0;50;781;29;51;29;40;6;0;1;1
171371;Porqueres;20;520;18;516;0;0;17;498;6;13;4;5;7;0;5;4
431140;Porrera;82;630;82;628;0;0;5;1;27;29;82;599;12;0;2;1
171404;Port de la Selva, el;12;703;11;353;0;0;4;311;3;5;9;37;2;0;4;350
171387;Portbou;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
251749;Portella, la;55;958;55;955;0;0;29;609;18;26;41;320;11;0;1;3
431153;Pradell de la Teixeta;51;251;51;239;0;0;8;2;10;3;51;233;14;0;2;12
431166;Prades;39;264;39;264;1;0;24;34;21;48;38;182;13;0;0;0
431172;Prat de Comte;31;161;31;161;0;0;2;0;10;4;31;157;7;0;0;0
081691;Prat de Llobregat, el;20;220;19;130;2;0;19;103;6;22;2;4;1;0;3;90
431188;Pratdip;57;284;55;275;2;1;13;7;10;10;54;258;16;0;9;8
081712;Prats de Lluçanès;21;522;19;397;0;0;19;392;4;5;0;0;6;0;7;125
081705;Prats de Rei, els;68;1778;68;1775;0;0;66;1715;18;40;5;19;14;0;1;4
251752;Prats i Sansor;5;460;5;147;0;0;5;147;0;0;0;0;1;0;5;312
251765;Preixana;96;1973;96;1972;0;0;87;1665;50;151;54;157;12;0;1;0
251771;Preixens;110;2094;110;2094;1;1;108;1949;48;96;34;47;19;0;1;0
082303;Premià de Dalt;13;40;12;37;11;16;9;21;2;0;0;0;0;0;1;3
081727;Premià de Mar;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
171390;Preses, les;11;334;11;263;0;0;11;260;2;3;0;0;5;0;10;72
251790;Prullans;15;1023;14;107;0;0;11;107;1;0;1;0;3;0;15;916
171411;Puigcerdà;17;1391;16;298;1;0;16;279;4;19;1;0;8;0;16;1094
081748;Puigdàlber;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
251804;Puiggròs;55;471;54;465;0;0;36;261;17;19;41;185;8;0;2;6
431191;Puigpelat;47;578;47;577;0;0;15;57;16;18;47;502;1;0;3;1
081751;Puig-reig;24;1324;24;919;0;0;24;883;9;29;2;6;6;0;13;405
251811;Puigverd d'Agramunt;76;1536;75;1535;0;0;73;1260;40;159;25;116;8;0;1;0
251826;Puigverd de Lleida;72;763;72;762;0;0;52;330;25;45;44;387;7;0;4;2
081764;Pujalt;49;2397;48;2367;0;0;48;2331;14;34;2;2;10;0;2;30
081770;Quar, la;13;1027;11;292;0;0;11;291;1;0;2;1;3;0;10;735
171426;Quart;7;140;6;140;0;0;5;125;2;15;0;0;3;0;2;0
170433;Queralbs;18;1945;13;25;0;0;11;25;0;0;0;0;4;0;18;1920
431205;Querol;23;1700;23;1236;0;0;17;608;13;50;17;578;6;0;4;464
171432;Rabós;43;1058;42;407;0;0;16;290;5;9;33;107;8;0;11;651
081786;Rajadell;31;933;28;866;1;1;21;729;19;83;18;53;8;0;7;67
431362;Ràpita, la;158;1143;158;1115;0;0;74;821;8;3;130;291;15;0;1;28
431212;Rasquera;169;1927;166;1242;0;0;33;23;62;88;165;1130;21;0;12;685
171447;Regencós;6;54;6;54;0;0;5;53;0;0;4;1;1;0;0;0
081799;Rellinars;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
431227;Renau;17;280;17;280;0;0;4;15;10;13;17;252;3;0;0;0
431233;Reus;338;1695;337;1692;9;7;74;336;79;147;325;1200;51;1;1;3
251832;Rialp;23;2757;19;96;0;0;17;94;0;0;2;1;11;0;23;2661
431248;Riba, la;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
431251;Riba-roja d'Ebre;145;1236;144;1226;0;0;16;13;40;33;143;1181;14;0;6;10
259059;Ribera d'Ondara;117;3504;116;3502;0;0;115;3291;62;129;44;82;20;1;1;1
251850;Ribera d'Urgellet;43;1794;39;720;0;0;39;696;4;17;4;8;9;0;36;1073
171450;Ribes de Freser;17;1755;13;27;0;0;11;27;0;0;0;0;3;0;17;1728
171463;Riells i Viabrea;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
431264;Riera de Gaià, la;40;273;40;272;1;0;13;39;8;26;38;207;13;0;1;1
251863;Riner;41;2173;38;1576;0;0;38;1528;17;47;2;2;11;0;8;597
171479;Ripoll;22;1610;16;93;0;0;15;93;0;0;0;0;5;0;21;1517
081803;Ripollet;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
259139;Riu de Cerdanya;8;457;7;70;0;0;7;70;0;0;0;0;3;0;8;387
171485;Riudarenes;25;574;22;551;2;0;20;487;11;50;3;14;6;0;8;23
171498;Riudaura;18;256;15;132;1;0;13;131;1;0;0;0;5;0;14;125
431270;Riudecanyes;112;345;112;344;2;0;11;7;20;9;111;328;14;0;2;1
431286;Riudecols;78;221;78;221;1;0;12;3;9;3;78;215;22;1;0;0
171501;Riudellots de la Selva;25;977;25;974;1;1;25;951;8;19;4;3;13;0;4;3
431299;Riudoms;525;1843;524;1841;15;17;77;181;112;121;515;1521;79;2;1;2
171518;Riumors;17;562;17;562;0;0;17;516;11;19;6;27;1;0;1;1
081810;Roca del Vallès, la;55;820;50;780;1;0;44;644;15;48;8;87;9;0;10;40
431303;Rocafort de Queralt;24;723;24;717;0;0;18;542;9;23;16;152;1;0;1;7
431310;Roda de Berà;19;117;18;110;0;0;1;5;4;2;18;104;2;0;3;6
081831;Roda de Ter;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
431325;Rodonyà;35;290;35;290;0;0;5;11;17;12;35;267;1;0;0;0
431331;Roquetes;660;5595;659;5316;1;0;48;277;34;78;655;4960;37;1;7;279
171523;Roses;76;257;72;185;0;0;9;26;4;8;68;151;7;0;9;72
251898;Rosselló;44;406;43;396;0;0;30;256;23;24;32;116;6;0;1;11
431346;Rourell, el;23;99;23;98;0;0;3;10;3;2;23;85;4;0;1;1
081846;Rubí;21;500;19;487;0;0;13;378;10;91;16;18;2;0;5;13
081859;Rubió;34;1362;34;1145;0;0;34;1032;19;84;15;29;8;0;6;216
171539;Rupià;9;349;9;349;0;0;9;331;3;13;6;5;1;0;0;0
089019;Rupit i Pruit;21;1305;20;615;0;0;17;610;2;5;0;0;13;0;17;690
081878;Sabadell;24;380;21;370;6;1;20;303;8;30;8;36;2;0;4;10
081884;Sagàs;22;1840;21;1179;0;0;21;1168;5;10;4;2;4;0;12;660
251902;Salàs de Pallars;28;609;27;298;0;0;18;222;6;17;26;58;5;0;3;311
081901;Saldes;12;920;9;42;0;0;9;41;0;0;1;1;3;0;12;879
171544;Sales de Llierca;12;302;9;107;0;0;8;91;1;12;2;3;1;0;9;196
081918;Sallent;51;2256;51;1949;0;0;46;1816;29;113;15;20;11;0;12;306
431359;Salomó;38;444;37;436;0;0;5;3;17;13;36;419;1;0;8;8
439057;Salou;57;161;57;161;1;3;11;14;8;6;56;136;10;0;1;1
171557;Salt;11;251;11;251;2;1;11;247;2;2;2;1;1;0;0;0
251919;Sanaüja;64;1285;64;1276;0;0;61;1153;29;76;27;47;11;0;2;9
081944;Sant Adrià de Besòs;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
081957;Sant Agustí de Lluçanès;11;441;11;290;0;0;11;290;0;0;0;0;4;0;5;151
081960;Sant Andreu de la Barca;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
081976;Sant Andreu de Llavaneres;14;55;14;54;8;13;10;35;3;3;3;3;0;0;1;1
171576;Sant Andreu Salou;12;319;12;318;0;0;12;307;4;7;3;3;5;0;1;0
171833;Sant Aniol de Finestres;15;542;14;215;0;0;14;205;3;9;1;1;5;0;10;327
081982;Sant Antoni de Vilamajor;30;576;30;560;2;1;28;545;10;13;3;2;8;0;6;16
081995;Sant Bartomeu del Grau;42;1423;42;990;0;0;42;985;5;5;0;0;11;0;16;433
082009;Sant Boi de Llobregat;84;668;83;575;14;6;71;453;27;61;37;55;6;0;2;93
082016;Sant Boi de Lluçanès;23;730;21;452;0;0;21;447;4;5;0;0;3;0;9;277
082037;Sant Cebrià de Vallalta;16;40;15;27;6;4;11;18;2;4;1;0;4;0;2;13
082021;Sant Celoni;15;244;13;229;0;0;11;159;5;13;2;57;4;0;4;15
082042;Sant Climent de Llobregat;24;81;23;76;3;2;11;21;3;5;22;48;2;0;2;5
171582;Sant Climent Sescebes;39;755;38;456;0;0;13;273;7;8;37;174;5;0;5;299
082055;Sant Cugat del Vallès;11;134;10;118;0;0;9;94;5;14;5;10;2;0;2;16
082068;Sant Cugat Sesgarrigues;38;359;38;359;0;0;5;6;16;23;37;331;1;0;0;0
251961;Sant Esteve de la Sarga;20;1618;20;680;0;0;20;632;7;14;17;33;4;0;7;938
082074;Sant Esteve de Palautordera;14;56;12;51;0;0;9;38;4;12;4;1;4;0;2;5
082080;Sant Esteve Sesrovires;41;465;40;456;0;0;16;240;12;23;34;193;2;0;4;9
171595;Sant Feliu de Buixalleu;25;643;24;641;2;9;20;549;6;59;8;24;6;0;4;2
082107;Sant Feliu de Codines;7;55;6;52;0;0;6;45;3;1;3;6;1;0;2;4
171609;Sant Feliu de Guíxols;5;27;5;27;0;0;4;25;2;0;3;1;0;0;0;0
082114;Sant Feliu de Llobregat;19;60;16;35;1;1;9;9;2;1;15;24;4;0;4;24
171616;Sant Feliu de Pallerols;27;1170;24;329;0;0;23;323;1;2;2;4;8;0;20;841
082129;Sant Feliu Sasserra;21;847;21;613;0;0;19;591;6;19;3;4;7;0;6;234
171621;Sant Ferriol;15;389;14;353;0;0;14;346;4;7;0;0;4;0;7;36
082093;Sant Fost de Campsentelles;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
082135;Sant Fruitós de Bages;43;746;42;743;1;0;38;674;14;42;10;26;9;0;2;3
171637;Sant Gregori;49;890;47;888;2;0;46;818;21;49;5;21;15;0;5;3
251924;Sant Guim de Freixenet;61;1904;61;1903;0;0;61;1851;19;26;8;26;11;0;1;1
251977;Sant Guim de la Plana;46;1080;44;1058;0;0;44;1016;23;40;8;1;4;0;2;22
171642;Sant Hilari Sacalm;13;202;13;111;1;16;9;37;1;6;8;52;2;0;5;91
082153;Sant Hipòlit de Voltregà;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
081939;Sant Iscle de Vallalta;7;57;7;52;0;0;6;45;1;1;2;6;3;0;2;5
439023;Sant Jaume d'Enveja;139;3903;139;3903;0;0;135;3794;17;40;39;69;16;0;0;0
082166;Sant Jaume de Frontanyà;6;599;3;63;0;0;3;63;0;0;0;0;0;0;6;536
171655;Sant Jaume de Llierca;13;127;12;117;0;0;12;117;0;0;1;0;6;0;3;10
431378;Sant Jaume dels Domenys;96;1138;96;1115;0;0;32;60;41;62;93;993;27;1;6;23
171674;Sant Joan de les Abadesses;36;1880;27;168;1;0;26;167;0;0;2;1;9;0;33;1712
171680;Sant Joan de Mollet;6;62;6;62;0;0;6;60;0;0;3;2;4;0;0;0
082188;Sant Joan de Vilatorrada;21;688;20;686;0;0;19;630;10;46;7;10;5;0;1;2
082172;Sant Joan Despí;14;41;14;41;2;0;11;22;4;6;12;13;2;0;0;0
171851;Sant Joan les Fonts;30;551;28;279;1;0;28;274;0;0;2;5;11;0;20;272
171668;Sant Jordi Desvalls;14;851;14;851;0;0;13;800;9;34;5;17;2;0;1;0
089030;Sant Julià de Cerdanyola;5;230;5;22;0;0;3;19;0;0;2;4;1;0;2;207
171693;Sant Julià de Ramis;15;523;15;503;0;0;14;488;2;13;1;1;4;0;1;20
082205;Sant Julià de Vilatorta;20;369;20;348;0;0;20;345;2;1;1;1;4;0;3;21
179032;Sant Julià del Llor i Bonmatí;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
082212;Sant Just Desvern;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
082227;Sant Llorenç d'Hortons;46;638;46;638;2;0;15;28;24;25;45;584;6;0;0;0
171714;Sant Llorenç de la Muga;4;32;3;32;0;0;3;31;0;0;1;1;0;0;1;0
251930;Sant Llorenç de Morunys;5;30;4;16;0;0;3;8;2;4;2;4;0;0;3;14
082233;Sant Llorenç Savall;10;130;10;112;0;0;5;80;3;12;6;21;5;0;2;18
082251;Sant Martí d'Albars;24;454;22;320;0;0;22;311;3;8;1;1;6;0;10;135
082248;Sant Martí de Centelles;23;1100;23;545;0;0;23;535;7;6;3;4;6;0;10;555
171729;Sant Martí de Llémena;16;350;13;291;0;0;13;283;1;3;4;5;5;0;8;59
259025;Sant Martí de Riucorb;123;2857;123;2857;1;1;89;1362;61;157;116;1336;21;0;1;0
082264;Sant Martí de Tous;56;1689;56;1689;2;0;52;1448;30;71;33;169;4;0;0;0
082270;Sant Martí Sarroca;164;2059;163;2057;1;30;52;142;67;104;162;1780;24;1;2;2
082286;Sant Martí Sesgueioles;10;251;10;251;0;0;10;243;3;8;1;0;1;0;0;0
171735;Sant Martí Vell;12;222;12;208;0;0;10;182;5;4;7;22;3;0;1;13
082299;Sant Mateu de Bages;68;3120;64;1815;1;0;60;1667;35;119;21;29;22;1;21;1304
171740;Sant Miquel de Campmajor;23;943;22;536;2;0;21;526;5;9;0;0;8;0;12;407
171753;Sant Miquel de Fluvià;5;47;5;47;0;0;4;44;2;2;2;1;1;0;0;0
171766;Sant Mori;6;223;6;222;0;0;5;214;2;6;2;2;0;0;1;0
171772;Sant Pau de Segúries;10;288;6;32;0;0;5;32;0;0;0;0;3;0;9;256
082310;Sant Pere de Ribes;51;931;50;928;0;0;24;185;23;51;50;692;9;0;1;2
082325;Sant Pere de Riudebitlles;14;100;14;100;0;0;5;1;5;9;14;90;7;0;0;0
082331;Sant Pere de Torelló;44;1791;41;661;0;0;39;657;4;1;2;3;11;0;34;1130
082346;Sant Pere de Vilamajor;24;511;23;485;0;0;22;457;7;12;4;15;3;0;6;26
171788;Sant Pere Pescador;50;1227;50;1217;2;0;27;291;6;23;42;903;0;0;4;10
081897;Sant Pere Sallavinera;34;1015;33;1012;0;0;33;965;7;10;3;37;4;0;1;3
082359;Sant Pol de Mar;19;25;19;25;10;7;14;11;4;1;7;5;5;0;1;0
082362;Sant Quintí de Mediona;33;269;32;265;1;0;5;17;9;12;31;237;3;0;1;3
082378;Sant Quirze de Besora;4;69;2;29;0;0;2;29;0;0;0;0;1;0;3;40
082384;Sant Quirze del Vallès;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
082397;Sant Quirze Safaja;8;122;8;92;1;0;8;90;2;2;1;0;2;0;2;30
251945;Sant Ramon;74;1622;74;1622;0;0;74;1546;34;63;12;13;9;0;0;0
082401;Sant Sadurní d'Anoia;55;872;54;872;1;3;18;67;24;36;53;765;3;0;1;0
082418;Sant Sadurní d'Osormort;9;400;9;190;0;0;9;187;1;3;0;0;3;0;7;210
080983;Sant Salvador de Guardiola;28;861;27;768;1;0;24;678;16;59;16;30;9;0;8;93
082628;Sant Vicenç de Castellet;15;308;14;236;0;0;12;199;8;20;11;17;5;0;5;72
082649;Sant Vicenç de Montalt;4;32;4;6;0;0;3;5;0;0;1;2;1;0;1;26
082652;Sant Vicenç de Torelló;18;236;18;167;1;0;16;167;4;1;0;0;6;0;6;69
082634;Sant Vicenç dels Horts;18;173;17;51;3;1;11;15;4;4;15;30;2;0;2;122
431384;Santa Bàrbara;211;1964;210;1916;0;0;22;35;30;40;205;1841;13;0;2;48
082439;Santa Cecília de Voltregà;22;415;20;376;0;0;20;374;3;2;0;0;10;0;8;39
082444;Santa Coloma de Cervelló;25;128;25;128;3;3;12;40;7;9;19;75;3;0;0;0
171805;Santa Coloma de Farners;20;270;18;253;2;0;9;170;4;20;11;63;7;0;5;17
082457;Santa Coloma de Gramenet;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
431397;Santa Coloma de Queralt;84;2804;84;2804;0;0;83;2720;35;77;5;6;18;0;0;0
171812;Santa Cristina d'Aro;15;375;15;366;1;0;12;355;3;2;8;9;6;0;2;9
082460;Santa Eugènia de Berga;29;389;28;356;1;0;28;356;1;0;0;0;6;0;3;33
082476;Santa Eulàlia de Riuprimer;21;572;18;335;0;0;18;334;3;1;0;0;5;0;13;238
082482;Santa Eulàlia de Ronçana;40;398;39;389;4;1;32;317;9;8;16;63;11;0;2;9
082495;Santa Fe del Penedès;23;280;23;280;0;0;2;2;7;23;23;256;1;0;0;0
171827;Santa Llogaia d'Àlguema;4;32;4;31;0;0;4;30;2;0;2;1;0;0;1;1
082508;Santa Margarida de Montbui;37;936;37;936;1;0;33;819;22;68;27;49;7;0;0;0
082515;Santa Margarida i els Monjos;61;802;61;780;0;0;18;43;23;43;59;694;2;0;2;22
082589;Santa Maria d'Oló;40;1367;37;1024;1;1;35;985;14;30;6;9;8;0;13;343
082536;Santa Maria de Besora;13;773;10;149;0;0;8;144;1;0;2;5;3;0;10;624
082567;Santa Maria de Martorelles;7;11;7;11;0;0;0;0;1;0;7;11;2;0;0;0
082554;Santa Maria de Merlès;35;1400;34;1045;0;0;34;1026;7;18;2;0;13;0;18;355
082573;Santa Maria de Miralles;26;1276;26;1276;0;0;23;732;10;69;11;475;8;0;0;0
082592;Santa Maria de Palautordera;32;461;30;449;1;1;30;432;5;14;2;1;11;0;8;12
431401;Santa Oliva;40;165;39;162;0;0;16;37;9;34;35;91;3;0;2;3
171848;Santa Pau;50;1065;46;591;1;0;43;587;0;0;3;4;23;1;34;474
082606;Santa Perpètua de Mogoda;22;330;22;330;1;0;22;317;5;10;3;3;2;0;0;0
082613;Santa Susanna;26;154;26;154;9;38;25;113;2;1;4;3;2;0;0;0
081923;Santpedor;40;805;39;766;0;0;38;733;13;31;7;2;12;0;5;39
431423;Sarral;161;3066;161;3053;0;0;68;1575;76;178;147;1300;8;0;2;13
171864;Sarrià de Ter;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
252017;Sarroca de Bellera;44;4189;20;133;0;0;17;120;2;4;6;9;5;0;43;4056
252000;Sarroca de Lleida;139;3409;137;3387;0;0;67;1138;81;380;123;1870;19;0;3;22
171870;Saus, Camallera i Llampaies;12;574;12;574;0;0;10;539;7;32;3;3;2;0;0;0
431439;Savallà del Comtat;20;464;20;464;0;0;19;437;10;26;2;2;3;0;0;0
431444;Secuita, la;59;828;59;828;0;0;20;106;30;74;59;648;8;0;0;0
171886;Selva de Mar, la;7;32;7;32;0;0;1;0;1;1;7;30;1;0;0;0
431457;Selva del Camp, la;412;1562;412;1560;5;0;72;91;69;37;408;1430;53;1;3;2
431460;Senan;13;204;13;204;0;0;9;138;9;19;12;47;2;0;0;0
430445;Sénia, la;211;3220;210;2374;1;1;20;15;19;13;209;2345;14;0;6;846
252022;Senterada;8;888;5;51;0;0;4;49;1;1;0;0;2;0;7;837
250352;Sentiu de Sió, la;69;1499;65;1492;0;0;62;1224;40;116;32;151;8;0;4;7
082671;Sentmenat;30;618;30;615;0;0;22;552;10;27;15;36;7;0;4;3
171903;Serinyà;16;547;16;538;1;0;16;533;5;5;0;0;5;0;5;8
252043;Seròs;254;4768;254;4756;2;1;59;713;129;696;246;3345;33;1;20;12
171910;Serra de Daró;17;567;17;567;0;0;16;495;6;23;4;49;3;0;0;0
171925;Setcases;11;1994;7;45;0;0;6;45;0;0;0;0;3;0;11;1949
252038;Seu d'Urgell, la;21;240;17;134;2;1;16;132;1;0;2;0;3;0;13;106
082690;Seva;25;769;24;588;0;0;23;546;4;4;4;37;8;0;7;181
252056;Sidamon;51;652;51;652;0;0;51;624;12;17;16;10;12;0;1;0
171931;Sils;30;845;29;845;1;0;29;797;13;46;4;2;8;0;1;0
082704;Sitges;16;138;16;138;0;0;5;15;7;27;15;96;3;0;0;0
170524;Siurana;18;869;17;846;0;0;14;724;4;15;12;106;5;0;5;22
082711;Sobremunt;9;585;9;218;0;0;9;217;1;0;0;0;2;0;7;368
252069;Soleràs, el;43;707;39;659;0;0;10;47;12;29;39;583;6;0;5;48
431476;Solivella;95;1600;95;1598;0;0;38;500;51;160;90;937;8;0;1;2
252075;Solsona;60;434;59;412;0;0;55;391;12;12;5;9;11;0;5;22
082726;Sora;22;1181;20;448;0;0;20;448;0;0;0;0;2;0;18;733
252081;Soriguera;23;4530;18;77;0;0;15;74;1;2;1;1;8;0;22;4453
252094;Sort;55;9062;40;262;0;0;30;242;1;0;6;19;18;0;50;8800
252108;Soses;136;1662;135;1648;0;0;34;217;60;125;122;1305;19;1;4;14
082732;Subirats;173;2027;173;2027;0;0;36;61;68;83;169;1883;18;0;2;0
252115;Sudanell;47;396;47;396;0;0;14;70;28;48;44;277;4;0;0;0
252120;Sunyer;24;1127;23;1089;0;0;10;102;14;62;21;924;4;0;2;38
082747;Súria;14;341;13;271;0;0;9;246;6;11;6;14;3;0;4;70
171946;Susqueda;7;322;6;129;1;0;6;129;0;0;0;0;3;0;6;193
082763;Tagamanent;7;322;5;88;0;0;5;88;0;0;0;0;0;0;7;234
082779;Talamanca;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
252154;Talarn;57;1159;56;821;1;0;45;692;17;31;33;97;13;0;5;338
252167;Talavera;73;2975;73;2937;0;0;73;2859;28;54;12;24;11;0;1;37
171959;Tallada d'Empordà, la;33;899;33;899;0;0;30;704;12;31;15;164;5;0;0;0
082785;Taradell;55;825;52;764;0;0;51;759;8;5;3;1;12;0;14;61
431482;Tarragona;44;395;44;394;0;0;14;147;11;73;42;174;12;0;1;0
252173;Tàrrega;307;6257;306;6255;1;0;260;4786;165;700;195;769;25;0;5;2
252189;Tarrés;20;179;20;179;0;0;7;43;6;45;17;91;3;0;0;0
252192;Tarroja de Segarra;31;504;31;504;0;0;31;455;10;17;19;32;2;0;0;0
082750;Tavèrnoles;17;679;14;325;0;0;12;323;3;1;1;1;5;0;11;354
082802;Tavertet;16;733;14;209;0;0;14;204;1;5;0;0;1;0;15;524
082819;Teià;14;17;14;17;7;5;8;6;1;0;4;7;1;0;0;0
252206;Térmens;133;2400;131;2352;2;1;124;2239;46;24;34;87;20;1;11;48
171962;Terrades;16;340;16;334;0;0;7;181;7;43;16;110;3;0;3;5
082798;Terrassa;20;420;20;413;1;0;18;360;9;41;11;12;4;0;2;7
082824;Tiana;20;76;20;58;7;6;10;32;3;3;11;17;4;0;2;18
252213;Tírvia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
252228;Tiurana;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
431495;Tivenys;148;697;148;697;0;0;14;3;23;15;148;678;20;1;1;0
431508;Tivissa;321;4530;317;2805;2;1;59;55;102;74;315;2674;47;1;16;1725
082830;Tona;37;742;36;684;0;0;36;677;5;5;2;2;11;0;5;58
252234;Torà;126;4167;126;3667;1;0;125;3523;41;118;25;25;23;1;7;500
082845;Tordera;68;1287;67;1254;10;4;63;1146;29;53;35;50;15;0;14;33
082858;Torelló;25;507;25;480;0;0;25;477;2;3;0;0;8;0;10;26
252249;Torms, els;46;814;46;814;1;0;8;33;20;34;45;746;5;0;0;0
252252;Tornabous;92;1555;90;1541;0;0;70;908;27;78;56;555;2;0;3;14
252271;Torre de Cabdella, la;36;6066;20;100;0;0;18;89;2;2;4;9;5;0;36;5966
082861;Torre de Claramunt, la;19;685;18;681;1;2;14;470;9;33;15;176;4;0;2;3
431515;Torre de Fontaubella, la;11;27;11;27;0;0;1;0;2;1;11;26;4;0;1;0
431520;Torre de l'Espanyol, la;84;823;84;811;0;0;25;35;30;28;84;747;13;0;4;12
252265;Torrebesses;84;1565;84;1512;1;0;33;197;51;127;83;1188;8;0;1;52
431536;Torredembarra;19;114;19;114;1;0;10;46;2;1;19;67;2;0;0;0
252287;Torrefarrera;69;1293;69;1287;0;0;30;775;27;69;55;442;10;0;1;6
259078;Torrefeta i Florejacs;225;6778;223;6748;1;0;220;6283;115;354;76;111;16;0;6;30
252304;Torregrossa;276;3819;274;3797;0;0;249;2620;51;70;133;1106;30;1;3;22
252311;Torrelameu;65;942;65;941;0;0;26;178;16;30;59;733;16;0;2;0
082877;Torrelavit;81;1191;81;1191;0;0;20;55;42;61;81;1075;15;0;1;0
